Score,Text,clean_text,sentiment
4,Perfect! Works as expected.,perfect works as expected,positive
2,"ABSOLUTE TRASH, AVOID AT ALL COSTS.",absolute trash avoid at all costs,negative
3,"firm speaker Not bad, could be better. so-so",firm speaker not bad could be better so so,neutral
1,"TERRIBLE QUALITY, NOT RECOMMENDED. SAHI HAI",terrible quality not recommended sahi hai,negative
2,"DURABLE MUG BROKE WITHIN A DAY, AWFUL. RIPOFF KHARAP HAI LAME",durable mug broke within a day awful ripoff kharap hai lame,negative
4,Best purchase I've made this year. silent notebook,best purchase i ve made this year silent notebook,positive
2,"Sleek wallet very disappointed, bad experience. awful 💯",sleek wallet very disappointed bad experience awful,negative
3,"HEAVY BLENDER IT'S OKAY, NOTHING SPECIAL. AVERAGE",heavy blender it s okay nothing special average,neutral
1,"Broke within a day, awful. defective not good",broke within a day awful defective not good,negative
2,matte oven Bad customer service and defective product.,matte oven bad customer service and defective product,negative
2,"Terrible quality, not recommended. firm pillow sahi hai 😢 don't not worth it",terrible quality not recommended firm pillow sahi hai don t not worth it,negative
1,"bright router Do not buy this, waste of money. broken",bright router do not buy this waste of money broken,negative
4,Great customer service and product. high-end jacket,great customer service and product high end jacket,positive
1,"SCRATCHY CHARGER WORTHLESS PRODUCT, DOESN'T WORK. PATHETIC YOU'RE",scratchy charger worthless product doesn t work pathetic you re,negative
1,"Durable speaker not worth the price, returning it. not great",durable speaker not worth the price returning it not great,negative
2,Poor quality and misleading description. they're,poor quality and misleading description they re,negative
3,"ECO-FRIENDLY BACKPACK MEDIOCRE QUALITY, ACCEPTABLE FOR THE PRICE.",eco friendly backpack mediocre quality acceptable for the price,neutral
3,It's fine for occasional use. waterproof oven neutral,it s fine for occasional use waterproof oven neutral,neutral
5,SUPERB! HIGHLY IMPRESSED. GLOSSY SOCKS SATISFIED,superb highly impressed glossy socks satisfied,positive
3,Neutral feelings about this item. matte sneakers,neutral feelings about this item matte sneakers,neutral
1,"Broke within a day, awful. useless kharap hai",broke within a day awful useless kharap hai,negative
2,Poorquality and mislaeding description. luxury tablet,poorquality and mislaeding description luxury tablet,negative
2,"Pot wotrh mhe price, returning it. glossy socks faaltu ",pot wotrh mhe price returning it glossy socks faaltu,negative
4,IMPRESSED WITH THE BUIL ND FEATURVS. OUTSTANDING,impressed with the buil nd featurvs outstanding,positive
4,SUPERB! HIGHLY IMPRESSED. FANTASTIC,superb highly impressed fantastic,positive
1,HORRIBLE PACKAGING AND BROKEN ITEM. SILENT ROUTER FAALTU,horrible packaging and broken item silent router faaltu,negative
4,Best purchase I've made this year. not good,best purchase i ve made this year not good,positive
3,HEAVY BOTTLE DECENT BUT HAS SOME FLAWS. SO-SO MAST HAI,heavy bottle decent but has some flaws so so mast hai,neutral
